value,qualifiers,dateTime,station,parameter,param_code
15.7,['P'],2026-02-09 23:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.7,['P'],2026-02-10 00:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.7,['P'],2026-02-10 00:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.7,['P'],2026-02-10 00:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.7,['P'],2026-02-10 00:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.7,['P'],2026-02-10 01:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.7,['P'],2026-02-10 01:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.7,['P'],2026-02-10 01:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.7,['P'],2026-02-10 01:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.7,['P'],2026-02-10 02:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.7,['P'],2026-02-10 02:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.7,['P'],2026-02-10 02:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.7,['P'],2026-02-10 02:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.7,['P'],2026-02-10 03:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.7,['P'],2026-02-10 03:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.7,['P'],2026-02-10 03:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.6,['P'],2026-02-10 03:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.6,['P'],2026-02-10 04:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.6,['P'],2026-02-10 04:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
